'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'publisher_name'	'full_coverage'	'collection'	'discipline'	'date_added_online'	'catalog_identifier_oclc'	'catalog_identifier_lccn'
'Annual Publication of the Historical Society of Southern California and Pioneer Register, Los Angeles'	'2162-9080'		'1897-01-01'	'4'	'1'	'1901-01-01'	'5'	'2'	'http://www.jstor.org/action/showPublication?journalCode=annpubhsscprla'		'annpubhsscprla'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1897-01-01 - 1901-01-01'		'American Studies;History'	'2011-12-30'		
'Annual Publication of the Historical Society of Southern California, Los Angeles'	'2162-9064'		'1893-01-01'	'3'	'1'	'1896-01-01'	'3'	'4'	'http://www.jstor.org/action/showPublication?journalCode=annpubhsscla'		'annpubhsscla'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1893-01-01 - 1896-01-01'		'American Studies;History'	'2011-12-30'		
'Bijdragen tot de Taal-, Land- en Volkenkunde van Nederlandsch-Indië'	'1383-5408'		'1852-01-01'	'1'	'1'	'1869-01-01'	'16'	'4'	'http://www.jstor.org/action/showPublication?journalCode=bijdtaallandvol2'		'bijdtaallandvol2'		'fulltext'	'Absorbed'	'KITLV, Royal Netherlands Institute of Southeast Asian and Caribbean Studies'	'1852-01-01 - 1948-01-01'	'Arts & Sciences IX Collection;For-Profit Academic Arts & Sciences IX Collection'	'Anthropology;Asian Studies'	'2011-07-22'	'565908901'	'2011-234216'
'Bradley, His Book'	'1948-0717'		'1896-05-01'	'1'	'1'	'1897-01-01'	'2'	'3'	'http://www.jstor.org/action/showPublication?journalCode=bradleyhisbook'		'bradleyhisbook'		'fulltext'	'Publication of this title ceased in 1897.'		'1896-05-01 - 1897-01-01'	'Arts & Sciences VIII Collection'	'Art & Art History'	'2009-10-09'	'448020518'	'2009-235699'
'Historical Society of Southern California, Los Angeles (1890)'	'2163-2995'		'1890-01-01'	'1'	'5'	'1890-01-01'	'1'	'5'	'http://www.jstor.org/action/showPublication?journalCode=hissocsoucalla'		'hissocsoucalla'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1890-01-01 - 1890-01-01'		'American Studies;History'	'2011-12-30'		
'Historical Society of Southern California, Los Angeles'	'2162-9013'		'1884-01-01'	'1'	'1'	'1887-01-01'	'1'	'3'	'http://www.jstor.org/action/showPublication?journalCode=histsocisocala'		'histsocisocala'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1884-01-01 - 1887-01-01'		'American Studies;History'	'2011-12-30'		
'National Academy Notes including the Complete Catalogue of the Spring Exhibition, National Academy of Design'	'2152-8578'		'1884-01-01'	'None'	'4'	'1889-01-01'	'None'	'9'	'http://www.jstor.org/action/showPublication?journalCode=naacnicocasenacd'		'naacnicocasenacd'		'fulltext'	'Publication of this title ceased in 1889.'		'1884-01-01 - 1889-01-01'	'Arts & Sciences VIII Collection'	'Art & Art History'	'2010-05-26'	'631407153'	'2010234993'
'Records of the Columbia Historical Society, Washington, D.C.'	'0897-9049'		'1897-01-01'	'1'	'None'	'1922-01-01'	'24'	'None'	'http://www.jstor.org/action/showPublication?journalCode=recocoluhistsoci'		'recocoluhistsoci'		'fulltext'	'Absorbed'	'Historical Society of Washington, D.C.'	'1897-01-01 - 1989-01-01'	'Arts & Sciences V Collection'	'American Studies;History'	'2009-07-31'	'297277807'	'2009-235282'
'The Artist: An Illustrated Monthly Record of Arts, Crafts and Industries (American Edition)'	'2151-4879'		'1899-05-01'	'25'	'233'	'1901-11-01'	'31'	'262'	'http://www.jstor.org/action/showPublication?journalCode=artiameredit'		'artiameredit'		'fulltext'	'Publication of this title ceased in 1901.'		'1899-05-01 - 1901-11-01'	'Arts & Sciences VIII Collection'	'Art & Art History'	'2010-02-03'	'503359263'	'2010-234721'
'The Assurance Magazine, and Journal of the Institute of Actuaries'	'2046-1658'		'1853-01-01'	'3'	'1'	'1866-01-01'	'12'	'6'	'http://www.jstor.org/action/showPublication?journalCode=assumagjinsact'		'assumagjinsact'		'fulltext'	'Absorbed'	'Cambridge University Press;Faculty of Actuaries and Institute of Actuaries'	'1853-01-01 - 1866-01-01'	'Arts & Sciences X Collection;Business III Collection'	'Business;Economics;Finance'	'2011-11-11'		
